Handle,Title,Body (HTML),Do not UPLOAD,Plating,Tags,Stone,Size,Variant Price,Category,Vendor,barcode,,,,,,,,
R-F1102925 Sterling Silver,R-F1102,925 Sterling Silver 4mm Opal size5/6/7 15pcs for each size 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,4mm Opal size5/6/7 15pcs for each size,29,Ring,Gemnel,22987453,,,,,,,,
E-ST1030925 Sterling Silver,E-ST1030,925 Sterling Silver 7.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,7.5mm,45,Earrings,Gemnel,23216829,,,,,,,,
E-D4087925 Sterling Silver,E-D4087,925 Sterling Silver 25mm chain drop/ stud：7.8*3.8mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,25mm chain drop/ stud：7.8*3.8mm,32,Earrings,Gemnel,,,,,,,,,
E-S1013925 Sterling Silver,E-S1013,925 Sterling Silver Opal 2.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,Opal 2.5mm,34,Earrings,Gemnel,23282365,,,,,,,,
B-R5115925 Sterling Silver,B-R5115,925 Sterling Silver * Flower diameter: approximately 5.2mm Length:16cm+4cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",Zircon (#05 Golden yellow) (#21 White),* Flower diameter: approximately 5.2mm Length:16cm+4cm,35,Bracelet,Gemnel,23315133,,,,,,,,
E-H1170925 Sterling Silver,E-H1170,925 Sterling Silver Inner Diameter 6.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,Inner Diameter 6.5mm,35,Ring,Gemnel,23347901,,,,,,,,
E-S1032925 Sterling Silver,E-S1032,925 Sterling Silver 3mm White Opal and 4.2mm Width 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,3mm White Opal and 4.2mm Width,24,Earrings,Gemnel,23380669,,,,,,,,
N-E3257925 Sterling Silver,N-E3257,925 Sterling Silver Opal:3mm Chain: 40+5cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,Opal:3mm Chain: 40+5cm,42,Necklace,Gemnel,23446205,,,,,,,,
E-S1055925 Sterling Silver,E-S1055,925 Sterling Silver / 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,/,24,Earrings,Gemnel,23478973,,,,,,,,
R-F1069925 Sterling Silver,R-F1069,925 Sterling Silver 2mm Opal size5/6/7 15pcs for each size 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,2mm Opal size5/6/7 15pcs for each size,28,Ring,Gemnel,23511741,,,,,,,,
E-S1346/E-S1345925 Sterling Silver,E-S1346/E-S1345,925 Sterling Silver Star 9.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,Star 9.5mm,28,Earrings,Gemnel,,,,,,,,,
N-C1045925 Sterling Silver,N-C1045,925 Sterling Silver chain width: 3.2mm necklace length: 40cm+5cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,chain width: 3.2mm necklace length: 40cm+5cm,42,Necklace,Gemnel,23577277,,,,,,,,
N-E3198925 Sterling Silver,N-E3198,"925 Sterling Silver Pendant:9.5mm, stone dia:1.5mm Chain Length: 40+5 cm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,"Pendant:9.5mm, stone dia:1.5mm Chain Length: 40+5 cm",36,Bracelet,Gemnel,23610045,,,,,,,,
R-F1314925 Sterling Silver,R-F1314,925 Sterling Silver Band 1.2mm size5/6/7 15pcs for each size 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,Band 1.2mm size5/6/7 15pcs for each size,28,Ring,Gemnel,23642813,,,,,,,,
B-R5096925 Sterling Silver,B-R5096,925 Sterling Silver chain width: 3.2mm bracelet length:16cm+4cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,chain width: 3.2mm bracelet length:16cm+4cm,38,Bracelet,Gemnel,23872189,,,,,,,,
N-E0096925 Sterling Silver,N-E0096,925 Sterling Silver Pendant 13mm Length: 40cm+5cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,Pendant 13mm Length: 40cm+5cm,39,Necklace,Gemnel,23904957,,,,,,,,
N-E2734925 Sterling Silver,N-E2734,925 Sterling Silver 9mm*20mm Chain Length: 40+5 cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,9mm*20mm Chain Length: 40+5 cm,49,Necklace,Gemnel,23937725,,,,,,,,
